date,libelle,categorie,montant_eur,solde_apres_operation_eur
2026-06-01,Salaire,Revenu,3500.00,7700.00
2026-06-03,Loyer,Logement,-1050.00,6650.00
2026-06-05,Courses alimentaires,Vie courante,-410.00,6240.00
2026-06-08,Virement Banque Horizon,Virement externe,-300.00,5940.00
2026-06-12,Assurance habitation,Assurance,-65.00,5875.00
2026-06-20,Virement livret epargne,Epargne,-250.00,5625.00
2026-07-01,Salaire,Revenu,3500.00,9125.00
2026-07-03,Loyer,Logement,-1050.00,8075.00
2026-07-06,Courses alimentaires,Vie courante,-430.00,7645.00
2026-07-08,Virement Banque Horizon,Virement externe,-300.00,7345.00
2026-07-12,Assurance habitation,Assurance,-65.00,7280.00
2026-07-20,Virement livret epargne,Epargne,-250.00,7030.00
2026-08-01,Salaire,Revenu,3500.00,10530.00
2026-08-03,Loyer,Logement,-1050.00,9480.00
2026-08-05,Courses alimentaires,Vie courante,-395.00,9085.00
2026-08-08,Virement Banque Horizon,Virement externe,-300.00,8785.00
2026-08-12,Assurance habitation,Assurance,-65.00,8720.00
2026-08-20,Virement livret epargne,Epargne,-250.00,8470.00
2026-09-01,Salaire,Revenu,3500.00,11970.00
2026-09-03,Loyer,Logement,-1050.00,10920.00
2026-09-05,Courses alimentaires,Vie courante,-445.00,10475.00
2026-09-08,Virement Banque Horizon,Virement externe,-300.00,10175.00
2026-09-12,Assurance habitation,Assurance,-65.00,10110.00
2026-09-20,Virement livret epargne,Epargne,-250.00,9860.00
