Date de l'opération;Libellé;Détail de l'écriture;Montant;Devise;evenement
22/09/2026;CARTE X2162 21/09 ;CARTE X2162 21/09 CARREFOUR MARKET 110626503181382IOPD;-10.75;EUR;
22/09/2026;CARTE X2162 21/09 ;CARTE X2162 21/09 L'ETOILE DE TURLY 110626500321388IOPD;-25.1;EUR;
21/09/2026;CARTE X2162 RETRAI;CARTE X2162 RETRAIT DAB 18/09 16H25 RETRAIT DAB 18-09-14505-0007704000 510626402365530IOPD;-80;EUR;
21/09/2026;CARTE X2162 20/09 ;CARTE X2162 20/09 CARREFOUR MARKET 110626404481585IOPD;-35.06;EUR;
21/09/2026;CARTE X2162 18/09 ;CARTE X2162 18/09 SAS BOUCHERIE PETIT 110626200141924IOPD;-36.92;EUR;
21/09/2026;CARTE X2162 18/09 ;CARTE X2162 18/09 CARREFOUR MAG SC 110626200064611IOPD;-10.85;EUR;
21/09/2026;CARTE X2162 18/09 ;CARTE X2162 18/09 AUCHAN SUPERMARC 101626144017080IOPD;-9.12;EUR;
21/09/2026;CARTE X2162 18/09 ;CARTE X2162 18/09 PATISSERIEBEKKOUCHE 110626200607472IOPD;-3.75;EUR;
18/09/2026;CARTE X2162 17/09 ;CARTE X2162 17/09 L'ETOILE DE TURLY 110626100302433IOPD;-25.6;EUR;
17/09/2026;VIR INST RE 676095;VIR INST RE 676095433781 DE: ALEXANDRE BOU DATE: 17/09/2026 17:48 MOTIF: Virement depuis BoursoBank;50;EUR;
17/09/2026;CARTE X2162 16/09 ;CARTE X2162 16/09 NETTO 110626001859326IOPD;-10.68;EUR;
17/09/2026;COTISATION JAZZ;COTISATION JAZZ;-8.55;EUR;
16/09/2026;CARTE X2162 15/09 ;CARTE X2162 15/09 NETTO 110625901764476IOPD;-15.68;EUR;
15/09/2026;CARTE X2162 14/09 ;CARTE X2162 14/09 AUCHAN BOURGES 110625802873379IOPD;-25.09;EUR;
15/09/2026;CARTE X2162 14/09 ;CARTE X2162 14/09 L'ETOILE DE TURLY 110625800251772IOPD;-23.6;EUR;
15/09/2026;CARTE X2162 14/09 ;CARTE X2162 14/09 AUCHAN SUPERMARC 101625733892040IOPD;-6.67;EUR;
14/09/2026;CARTE X2162 12/09 ;CARTE X2162 12/09 VAL PRESSE 110625700026548IOPD;-19.3;EUR;
14/09/2026;CARTE X2162 12/09 ;CARTE X2162 12/09 SAS BOUCHERIE PETIT 110625700613859IOPD;-12.5;EUR;
14/09/2026;CARTE X2162 12/09 ;CARTE X2162 12/09 BOURSORAMA COMMERCE ELECTRONIQUE 101625553990530IOPD;-300;EUR;
14/09/2026;CARTE X2162 11/09 ;CARTE X2162 11/09 NETTO 110625500942809IOPD;-46.52;EUR;
14/09/2026;CARTE X2162 11/09 ;CARTE X2162 11/09 L'ETOILE DE TURLY 110625500374702IOPD;-27.1;EUR;
14/09/2026;CARTE X2162 12/09 ;CARTE X2162 12/09 AUCHAN SUPERMARC 101625548788740IOPD;-23.65;EUR;
11/09/2026;CARTE X2162 10/09 ;CARTE X2162 10/09 AUCHAN SUPERMARC 101625342478290IOPD;-13.4;EUR;
10/09/2026;CARTE X2162 09/09 ;CARTE X2162 09/09 LE TRICARNOT 110625300426608IOPD;-23.6;EUR;
10/09/2026;CARTE X2162 09/09 ;CARTE X2162 09/09 CARREFOUR MARKET 110625301551836IOPD;-16.33;EUR;
08/09/2026;CARTE X2162 07/09 ;CARTE X2162 07/09 BUT BOURGES 110625102404483IOPD;-109.98;EUR;
08/09/2026;CARTE X2162 07/09 ;CARTE X2162 07/09 CARREFOURMARKET 110625102421544IOPD;-38.63;EUR;
08/09/2026;CARTE X2162 07/09 ;CARTE X2162 07/09 VAL PRESSE 110625101845591IOPD;-17.3;EUR;
08/09/2026;CARTE X2162 07/09 ;CARTE X2162 07/09 NETTO 110625101778454IOPD;-10.28;EUR;
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6603542648 DE: ORPI-NEVERS-SARL IMMOBILIER DU REMP ART ID: FR20ZZZ604057;-406.66;EUR;
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6603542639 DE: MACIF Centre Production-MACIF ID: FR66ZZZ110663 MOTIF: -PRELEV 1207092026  01184763302;-77.8;EUR;
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6603542657 DE: HARMONIE MUTUELLE ID: FR50ZZZ609143 MOTIF: 20260905HARMONIE MUTUE299816282;-47.94;EUR;
07/09/2026;CARTE X2162 06/09 ;CARTE X2162 06/09 COFIROUTE, 2 paiements d 110625008041013IOPD;-23.1;EUR;
07/09/2026;CARTE X2162 06/09 ;CARTE X2162 06/09 COFIROUTE BOURGES 110625008037713IOPD;-16.7;EUR;
07/09/2026;CARTE X2162 RETRAI;CARTE X2162 RETRAIT DAB 05/09 10H52 TREGUNC SAS 00656581 510625001007963IOPD;-100;EUR;
07/09/2026;CARTE X2162 05/09 ;CARTE X2162 05/09 BRITT 110625005136786IOPD;-42;EUR;
07/09/2026;CARTE X2162 06/09 ;CARTE X2162 06/09 RELAIS DE ROMORANTI 110625001165700IOPD;-30.09;EUR;
07/09/2026;CARTE X2162 05/09 ;CARTE X2162 05/09 LE NARVAL 110625000579044IOPD;-27.2;EUR;
07/09/2026;CARTE X2162 05/09 ;CARTE X2162 05/09 BOULANGERIE HERLEDA 110625000549214IOPD;-12.08;EUR;
07/09/2026;CARTE X2162 03/09 ;CARTE X2162 03/09 INTERMARCHE 110624800816539IOPD;-59.74;EUR;
07/09/2026;CARTE X2162 03/09 ;CARTE X2162 03/09 AMAZON PAYMENTS COMMERCE ELECTRONIQUE 110624800538063IOPD;-56.29;EUR;
04/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: Agence FNAIM ID: FR35ZZZ418323 MOTIF: LOYER;-1024.99;EUR;LOYER
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: CETELEM ID: FR35ZZZ418323 MOTIF: ;-100;EUR;CREDIT CONSO
07/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 6507805464 DE: SOFINCO ID: FR35ZZZ418323 MOTIF: ;-200;EUR;CREDIT CONSO
04/09/2026;VIR RECU    659392;VIR RECU    6593929318S DE: CAF DU CHER MOTIF: 1160346RBOU         082026ME REF: 10939460V16;56.88;EUR;
02/09/2026;CARTE X2162 01/09 ;CARTE X2162 01/09 BRITT 110624503850329IOPD;-21;EUR;
02/09/2026;CARTE X2162 31/08 ;CARTE X2162 31/08 INTERMARCHE 110624502455978IOPD;-33.79;EUR;
01/09/2026;CARTE X2162 31/08 ;CARTE X2162 31/08 LE NARVAL 110624400267057IOPD;-24.5;EUR;
31/08/2026;CARTE X2162 29/08 ;CARTE X2162 29/08 ADMALO 110624306516179IOPD;-79.1;EUR;
31/08/2026;CARTE X2162 28/08 ;CARTE X2162 28/08 BRITT 110624302971779IOPD;-21;EUR;
31/08/2026;CARTE X2162 28/08 ;CARTE X2162 28/08 LE NARVAL 110624100308766IOPD;-27.2;EUR;
28/08/2026;CARTE X2162 27/08 ;CARTE X2162 27/08 LECLERC 110624002834682IOPD;-30.5;EUR;
27/08/2026;CARTE X2162 26/08 ;CARTE X2162 26/08 FNAC 110623902444111IOPD;-179.95;EUR;
27/08/2026;CARTE X2162 26/08 ;CARTE X2162 26/08 DECATHLON 0338 101623926630380IOPD;-72.97;EUR;
27/08/2026;VIR RECU    579151;VIR RECU    5791513268S DE: SGC BOURGES DE: BOURGES - BP MOTIF: PAYE DU MOIS 08/26 BOURGES - BPHEL0;1840.78;EUR;
