Date de l'opération;Libellé;Détail de l'écriture;Montant;Devise;evenement 
22/09/2026;CARTE X4032 18/09 ;CARTE X4032 18/09 TRUJAS 110626201290806IOPD;-296;EUR;
22/09/2026;CARTE X4032 18/09 ;CARTE X4032 18/09 AUCHAN SUPERMAR 110626202883859IOPD;-35.17;EUR;
22/09/2026;CARTE X4032 18/09 ;CARTE X4032 18/09 CPA 78 110626201446875IOPD;-32.05;EUR;
22/09/2026;CARTE X4032 20/09 ;CARTE X4032 20/09 Action 4037 110626405533034IOPD;-13.92;EUR;
21/09/2026;CARTE X4032 20/09 ;CARTE X4032 20/09 AUCHAN MAUREPAS 110626403792640IOPD;-100;EUR;
21/09/2026;CARTE X4032 19/09 ;CARTE X4032 19/09 AUCHAN SUPERMAR 110626403456427IOPD;-9.43;EUR;
21/09/2026;000001 VIR EUROPEE;000001 VIR EUROPEEN EMIS   LOGITEL POUR: JpBNP 27 08 BQ 3000401797 CPT 00000000525 REF: 9623837573580;-500;EUR;Virement banque externe 
18/09/2026;CARTE X4032 17/09 ;CARTE X4032 17/09 CARREFOUR 110626101020691IOPD;-3.9;EUR;
18/09/2026;CARTE X4032 17/09 ;CARTE X4032 17/09 CARREFOUR 110626101020688IOPD;-2.76;EUR;
18/09/2026;COTISATION MENSUEL;COTISATION MENSUELLE SOBRIO;-15.9;EUR;
15/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 7009183115 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-95;EUR;
15/09/2026;PRELEVEMENT EUROPE;PRELEVEMENT EUROPEEN 7009183106 POUR CPTE DE:D.G.F.I.P. IMPOT 75077 ID: FR46ZZZ005002 MOTIF: 750772021371656269 111;-40;EUR;
15/09/2026;CARTE X4032 13/09 ;CARTE X4032 13/09 MARCHE FRAIS BY 110625707460783IOPD;-40;EUR;
15/09/2026;CARTE X4032 13/09 ;CARTE X4032 13/09 MCDONALDS 110625705875109IOPD;-20;EUR;
15/09/2026;CARTE X4032 13/09 ;CARTE X4032 13/09 DECATHLON COIGNI 110625707451341IOPD;-17.99;EUR;
15/09/2026;CARTE X4032 13/09 ;CARTE X4032 13/09 ASMA 110625703911870IOPD;-8.86;EUR;
